Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 02:58 EST
"Nutrient data for: 06334, CAMPBELL'S Red and White, Cream of Celery Soup, condensed"
Nutrient,Unit,1Value per 100 g,"1 serving 1/2 cup = 124.0g",
Proximates
"Water",g,84.40,104.66
"Energy",kcal,73,91
"Protein",g,0.81,1.00
"Total lipid (fat)",g,4.84,6.00
"Carbohydrate, by difference",g,7.26,9.00
"Fiber, total dietary",g,2.4,3.0
"Sugars, total",g,0.81,1.00
Minerals
"Calcium, Ca",mg,16,20
"Iron, Fe",mg,0.00,0.00
"Potassium, K",mg,460,570
"Sodium, Na",mg,516,640
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Vitamin A, IU",IU,242,300
Lipids
"Fatty acids, total saturated",g,0.806,0.999
"Fatty acids, total monounsaturated",g,2.823,3.501
"Fatty acids, total polyunsaturated",g,1.210,1.500
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,4,5
Amino Acids
Other
