Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 02:56 EST
"Nutrient data for: 06388, CAMPBELL'S CHUNKY Soups, Beef with Country Vegetables Soup"
Nutrient,Unit,1Value per 100 g,"1 cup = 245.0g",
Proximates
"Water",g,85.30,208.99
"Energy",kcal,53,130
"Protein",g,3.27,8.01
"Total lipid (fat)",g,1.22,2.99
"Carbohydrate, by difference",g,7.35,18.01
"Fiber, total dietary",g,1.2,2.9
"Sugars, total",g,1.63,3.99
Minerals
"Calcium, Ca",mg,8,20
"Iron, Fe",mg,0.59,1.45
"Sodium, Na",mg,376,921
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Vitamin A, IU",IU,2449,6000
Lipids
"Fatty acids, total saturated",g,0.408,1.000
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,6,15
Amino Acids
Other
