Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35185, Frybread, made with lard (Apache)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,33.11,
"Energy",kcal,309,
"Protein",g,8.38,
"Total lipid (fat)",g,10.14,
"Carbohydrate, by difference",g,46.01,
"Fiber, total dietary",g,1.7,
"Sugars, total",g,1.54,
Minerals
"Calcium, Ca",mg,52,
"Iron, Fe",mg,3.43,
"Magnesium, Mg",mg,19,
"Phosphorus, P",mg,112,
"Potassium, K",mg,75,
"Sodium, Na",mg,671,
"Zinc, Zn",mg,0.47,
Vitamins
"Thiamin",mg,0.531,
"Riboflavin",mg,0.264,
"Niacin",mg,4.335,
"Vitamin B-6",mg,0.068,
"Folate, DFE",µg,177,
"Vitamin B-12",µg,0.00,
"Vitamin E (alpha-tocopherol)",mg,0.09,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,3.631,
"Fatty acids, total monounsaturated",g,3.500,
"Fatty acids, total polyunsaturated",g,1.306,
"Cholesterol",mg,4,
Amino Acids
Other
