Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35039, Fish, herring eggs on giant kelp, Pacific (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,81.80,
"Energy",kcal,63,
"Protein",g,11.30,
"Total lipid (fat)",g,0.80,
"Carbohydrate, by difference",g,2.60,
Minerals
"Calcium, Ca",mg,161,
"Iron, Fe",mg,3.40,
"Sodium, Na",mg,61,
Vitamins
"Thiamin",mg,0.100,
"Riboflavin",mg,0.130,
"Niacin",mg,2.700,
"Vitamin A, IU",IU,89,
Lipids
Amino Acids
Other
