Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35034, Fish, devilfish, meat (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,80.80,
"Energy",kcal,97,
"Protein",g,11.70,
"Total lipid (fat)",g,5.30,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,12,
"Iron, Fe",mg,0.40,
"Phosphorus, P",mg,3,
Vitamins
"Vitamin C, total ascorbic acid",mg,3.0,
"Thiamin",mg,0.090,
"Riboflavin",mg,0.100,
"Niacin",mg,1.100,
"Vitamin A, IU",IU,1020,
Lipids
Amino Acids
Other
