Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35021, Caribou, bone marrow, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,7.40,
"Energy",kcal,786,
"Protein",g,6.70,
"Total lipid (fat)",g,84.40,
"Carbohydrate, by difference",g,0.00,
Minerals
"Iron, Fe",mg,4.50,
"Phosphorus, P",mg,107,
Vitamins
"Thiamin",mg,0.040,
"Niacin",mg,0.200,
"Vitamin A, IU",IU,240,
Lipids
Amino Acids
Other
