Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:29 EST
"Nutrient data for: 28256, AUSTIN, Peanut Butter on Cheese Crackers, sandwich-type"
Nutrient,Unit,1Value per 100 g,"1 package = 39.0g",
Proximates
"Water",g,2.00,0.78
"Energy",kcal,492,192
"Protein",g,10.80,4.21
"Total lipid (fat)",g,24.50,9.55
"Carbohydrate, by difference",g,59.00,23.01
"Fiber, total dietary",g,3.2,1.2
"Sugars, total",g,9.00,3.51
Minerals
"Calcium, Ca",mg,50,20
"Iron, Fe",mg,3.50,1.36
"Magnesium, Mg",mg,12,5
"Phosphorus, P",mg,183,71
"Potassium, K",mg,68,27
"Sodium, Na",mg,843,329
Vitamins
"Thiamin",mg,0.430,0.168
"Riboflavin",mg,0.280,0.109
"Niacin",mg,3.700,1.443
Lipids
"Fatty acids, total saturated",g,3.700,1.443
"Fatty acids, total monounsaturated",g,8.400,3.276
"Fatty acids, total polyunsaturated",g,12.000,4.680
"Fatty acids, total trans",g,0.150,0.058
"Cholesterol",mg,0,0
Amino Acids
Other
