Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:38 EST
"Nutrient data for: 28033, GIRL SCOUTS, Tagalongs Cookies"
Nutrient,Unit,1Value per 100 g,"2.0 cookies = 25.0g",
Proximates
"Water",g,1.80,0.45
"Energy",kcal,558,140
"Protein",g,8.10,2.02
"Total lipid (fat)",g,35.30,8.82
"Carbohydrate, by difference",g,52.20,13.05
"Fiber, total dietary",g,3.5,0.9
"Sugars, total",g,30.90,7.72
Minerals
"Iron, Fe",mg,2.10,0.53
"Magnesium, Mg",mg,17,4
"Phosphorus, P",mg,37,9
"Potassium, K",mg,217,54
"Sodium, Na",mg,371,93
"Zinc, Zn",mg,0.20,0.05
Vitamins
"Thiamin",mg,0.140,0.035
"Riboflavin",mg,0.090,0.022
"Niacin",mg,4.500,1.125
Lipids
"Fatty acids, total saturated",g,19.200,4.800
"Fatty acids, total monounsaturated",g,8.400,2.100
"Fatty acids, total polyunsaturated",g,6.300,1.575
"Fatty acids, total trans",g,0.270,0.068
"Cholesterol",mg,0,0
Amino Acids
Other
