Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:07 EST
"Nutrient data for: 12078, Nuts, brazilnuts, dried, unblanched"
Nutrient,Unit,1Value per 100 g,"1 cup, whole = 133.0g","1 kernel = 5.0g","1 oz (6 kernels) = 28.35g",
Proximates
"Water",g,3.42,4.55,0.17,0.97
"Energy",kcal,659,876,33,187
"Protein",g,14.32,19.05,0.72,4.06
"Total lipid (fat)",g,67.10,89.24,3.35,19.02
"Carbohydrate, by difference",g,11.74,15.61,0.59,3.33
"Fiber, total dietary",g,7.5,10.0,0.4,2.1
"Sugars, total",g,2.33,3.10,0.12,0.66
Minerals
"Calcium, Ca",mg,160,213,8,45
"Iron, Fe",mg,2.43,3.23,0.12,0.69
"Magnesium, Mg",mg,376,500,19,107
"Phosphorus, P",mg,725,964,36,206
"Potassium, K",mg,659,876,33,187
"Sodium, Na",mg,3,4,0,1
"Zinc, Zn",mg,4.06,5.40,0.20,1.15
Vitamins
"Vitamin C, total ascorbic acid",mg,0.7,0.9,0.0,0.2
"Thiamin",mg,0.617,0.821,0.031,0.175
"Riboflavin",mg,0.035,0.047,0.002,0.010
"Niacin",mg,0.295,0.392,0.015,0.084
"Vitamin B-6",mg,0.101,0.134,0.005,0.029
"Folate, DFE",µg,22,29,1,6
"Vitamin B-12",µg,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,5.65,7.51,0.28,1.60
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,16.134,21.458,0.807,4.574
"Fatty acids, total monounsaturated",g,23.879,31.759,1.194,6.770
"Fatty acids, total polyunsaturated",g,24.399,32.451,1.220,6.917
"Cholesterol",mg,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0
Footnotes
(a)"Other phytosterols total 51.5 mg/100g; these include delta 5-avenasterol + beta-sitostanol (19.7) and other minor phytosterols."
