Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:28 EST
"Nutrient data for: 18566, Artificial Blueberry Muffin Mix, dry"
Nutrient,Unit,1Value per 100 g,"1 muffin = 31.0g",
Proximates
"Water",g,6.40,1.98
"Energy",kcal,407,126
"Protein",g,4.70,1.46
"Total lipid (fat)",g,8.70,2.70
"Carbohydrate, by difference",g,77.45,24.01
Minerals
"Sodium, Na",mg,760,236
Vitamins
Lipids
"Fatty acids, total saturated",g,1.865,0.578
"Fatty acids, total monounsaturated",g,3.742,1.160
"Fatty acids, total polyunsaturated",g,1.679,0.520
Amino Acids
Other
