Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:40 EST
"Nutrient data for: 18608, KEEBLER, KEEBLER Chocolate Graham SELECTS"
Nutrient,Unit,1Value per 100 g,"1 serving = 31.0g",
Proximates
"Water",g,3.10,0.96
"Energy",kcal,465,144
"Protein",g,7.10,2.20
"Total lipid (fat)",g,16.60,5.15
"Carbohydrate, by difference",g,71.80,22.26
"Sugars, total",g,26.50,8.21
Minerals
"Sodium, Na",mg,357,111
Vitamins
Lipids
"Fatty acids, total saturated",g,3.150,0.976
"Fatty acids, total monounsaturated",g,8.431,2.614
"Fatty acids, total polyunsaturated",g,2.201,0.682
Amino Acids
Other
