Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:40 EST
"Nutrient data for: 28138, KEEBLER, TOWN HOUSE, Bistro Multigrain Crackers"
Nutrient,Unit,1Value per 100 g,"2.0 crackers = 16.0g",
Proximates
"Water",g,2.20,0.35
"Energy",kcal,460,74
"Protein",g,7.30,1.17
"Total lipid (fat)",g,19.50,3.12
"Carbohydrate, by difference",g,67.00,10.72
"Fiber, total dietary",g,3.4,0.5
"Sugars, total",g,8.60,1.38
Minerals
"Iron, Fe",mg,3.00,0.48
"Potassium, K",mg,47,8
"Sodium, Na",mg,797,128
Vitamins
"Thiamin",mg,0.420,0.067
"Riboflavin",mg,0.260,0.042
"Niacin",mg,3.400,0.544
Lipids
"Fatty acids, total saturated",g,4.300,0.688
"Fatty acids, total monounsaturated",g,6.600,1.056
"Fatty acids, total polyunsaturated",g,3.500,0.560
"Fatty acids, total trans",g,5.100,0.816
"Cholesterol",mg,4,1
Amino Acids
Other
