Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:22 EST
"Nutrient data for: 04670, USDA Commodity Food, oil, vegetable, low saturated fat"
Nutrient,Unit,1Value per 100 g,"1 tbsp = 13.6g","1 cup = 218.0g","1 tsp = 4.5g",
Proximates
"Water",g,0.00,0.00,0.00,0.00
"Energy",kcal,884,120,1927,40
"Protein",g,0.00,0.00,0.00,0.00
"Total lipid (fat)",g,100.00,13.60,218.00,4.50
"Carbohydrate, by difference",g,0.00,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,0,0,0,0
"Iron, Fe",mg,0.02,0.00,0.04,0.00
"Magnesium, Mg",mg,0,0,0,0
"Phosphorus, P",mg,0,0,0,0
"Potassium, K",mg,0,0,0,0
"Sodium, Na",mg,0,0,0,0
"Zinc, Zn",mg,0.00,0.00,0.00,0.00
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0
"Thiamin",mg,0.000,0.000,0.000,0.000
"Riboflavin",mg,0.000,0.000,0.000,0.000
"Niacin",mg,0.000,0.000,0.000,0.000
"Vitamin B-6",mg,0.000,0.000,0.000,0.000
"Folate, DFE",µg,0,0,0,0
"Vitamin B-12",µg,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,9.21,1.25,20.08,0.41
"Vitamin K (phylloquinone)",µg,197.6,26.9,430.8,8.9
Lipids
"Fatty acids, total saturated",g,7.429,1.010,16.195,0.334
"Fatty acids, total monounsaturated",g,22.730,3.091,49.551,1.023
"Fatty acids, total polyunsaturated",g,65.138,8.859,142.001,2.931
"Fatty acids, total trans",g,2.577,0.350,5.618,0.116
"Cholesterol",mg,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0
