Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:21 EST
"Nutrient data for: 14284, Beverages, Cranberry juice cocktail"
Nutrient,Unit,1Value per 100 g,"1 cup = 271.0g",
Proximates
"Water",g,87.39,236.83
"Energy",kcal,52,141
"Protein",g,0.00,0.00
"Total lipid (fat)",g,0.34,0.92
"Carbohydrate, by difference",g,12.25,33.20
"Sugars, total",g,11.41,30.92
Minerals
"Calcium, Ca",mg,3,8
"Iron, Fe",mg,0.04,0.11
"Magnesium, Mg",mg,1,3
"Phosphorus, P",mg,1,3
"Potassium, K",mg,19,51
"Sodium, Na",mg,2,5
"Zinc, Zn",mg,0.02,0.05
Vitamins
"Vitamin C, total ascorbic acid",mg,33.5,90.8
"Thiamin",mg,0.000,0.000
"Riboflavin",mg,0.000,0.000
"Niacin",mg,0.025,0.068
"Vitamin B-6",mg,0.000,0.000
Lipids
Amino Acids
Other
