Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35229, Sea lion, Steller, meat (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,71.20,
"Energy",kcal,120,
"Protein",g,25.85,
"Total lipid (fat)",g,1.88,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,6,
"Iron, Fe",mg,11.48,
"Magnesium, Mg",mg,22,
"Phosphorus, P",mg,253,
"Potassium, K",mg,406,
"Sodium, Na",mg,62,
"Zinc, Zn",mg,3.32,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Vitamin A, RAE",µg,0,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,1,
Lipids
"Fatty acids, total monounsaturated",g,0.100,
"Cholesterol",mg,64,
Amino Acids
Other
