Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35017, Blueberries, wild, frozen (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,88.70,
"Energy",kcal,44,
"Protein",g,0.70,
"Total lipid (fat)",g,0.00,
"Carbohydrate, by difference",g,10.40,
Minerals
"Calcium, Ca",mg,15,
"Iron, Fe",mg,1.10,
Vitamins
"Vitamin C, total ascorbic acid",mg,2.2,
"Thiamin",mg,0.030,
"Riboflavin",mg,0.100,
"Niacin",mg,0.400,
"Vitamin A, IU",IU,163,
Lipids
Amino Acids
Other
