Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35066, Fish, salmon, king, chinook, smoked and canned (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,66.70,
"Energy",kcal,150,
"Protein",g,23.20,
"Total lipid (fat)",g,5.90,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,60,
"Iron, Fe",mg,1.80,
Vitamins
"Thiamin",mg,0.010,
"Riboflavin",mg,0.100,
"Niacin",mg,8.500,
"Vitamin A, IU",IU,319,
Lipids
Amino Acids
Other
