Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35083, Walrus, liver, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,71.50,
"Energy",kcal,125,
"Protein",g,21.00,
"Total lipid (fat)",g,3.00,
"Carbohydrate, by difference",g,3.50,
Minerals
"Iron, Fe",mg,14.40,
"Phosphorus, P",mg,208,
Vitamins
"Thiamin",mg,0.080,
"Riboflavin",mg,1.910,
"Vitamin A, IU",IU,81200,
Lipids
Amino Acids
Other
