Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35013, Whale, beluga, liver, raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,74.60,
"Energy",kcal,117,
"Protein",g,18.40,
"Total lipid (fat)",g,3.90,
"Carbohydrate, by difference",g,2.00,
Minerals
"Calcium, Ca",mg,11,
"Phosphorus, P",mg,230,
Vitamins
"Vitamin A, IU",IU,22100,
Lipids
Amino Acids
Other
