Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 15:04 EST
"Nutrient data for: 15098, Fish, sheepshead, cooked, dry heat"
Nutrient,Unit,1Value per 100 g,"3.0 oz = 85.0g","1 fillet = 186.0g",
Proximates
"Water",g,69.04,58.68,128.41
"Energy",kcal,126,107,234
"Protein",g,26.02,22.12,48.40
"Total lipid (fat)",g,1.63,1.39,3.03
"Carbohydrate, by difference",g,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0
Minerals
"Calcium, Ca",mg,37,31,69
"Iron, Fe",mg,0.67,0.57,1.25
"Magnesium, Mg",mg,35,30,65
"Phosphorus, P",mg,350,298,651
"Potassium, K",mg,512,435,952
"Sodium, Na",mg,73,62,136
"Zinc, Zn",mg,0.63,0.54,1.17
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0
"Thiamin",mg,0.010,0.009,0.019
"Riboflavin",mg,0.050,0.043,0.093
"Niacin",mg,1.800,1.530,3.348
"Vitamin B-6",mg,0.350,0.297,0.651
"Folate, DFE",µg,17,14,32
"Vitamin B-12",µg,2.30,1.95,4.28
"Vitamin A, RAE",µg,35,30,65
"Vitamin A, IU",IU,115,98,214
Lipids
"Fatty acids, total saturated",g,0.360,0.306,0.670
"Fatty acids, total monounsaturated",g,0.350,0.297,0.651
"Fatty acids, total polyunsaturated",g,0.382,0.325,0.711
"Cholesterol",mg,64,54,119
Amino Acids
Other
