Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:19 EST
"Nutrient data for: 14162, Beverages, Apple juice drink, light, fortified with vitamin C"
Nutrient,Unit,1Value per 100 g,"8.0 fl oz = 240.0g",
Proximates
"Water",g,94.84,227.62
"Energy",kcal,22,53
"Protein",g,0.00,0.00
"Total lipid (fat)",g,0.10,0.24
"Carbohydrate, by difference",g,5.10,12.24
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,4.80,11.52
Minerals
"Calcium, Ca",mg,3,7
"Iron, Fe",mg,0.20,0.48
"Magnesium, Mg",mg,5,12
"Phosphorus, P",mg,9,22
"Potassium, K",mg,51,122
"Sodium, Na",mg,13,31
"Zinc, Zn",mg,0.04,0.10
Vitamins
"Vitamin C, total ascorbic acid",mg,24.0,57.6
"Thiamin",mg,0.004,0.010
"Riboflavin",mg,0.015,0.036
"Niacin",mg,0.067,0.161
"Vitamin B-6",mg,0.018,0.043
"Folate, DFE",µg,0,0
"Vitamin B-12",µg,0.00,0.00
"Vitamin A, RAE",µg,0,0
"Vitamin A, IU",IU,0,0
"Vitamin E (alpha-tocopherol)",mg,0.01,0.02
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.000,0.000
"Fatty acids, total monounsaturated",g,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
"Caffeine",mg,0,0
