Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 12:33 EST
"Nutrient data for: 21306, Fast foods, griddle cake sandwich, sausage"
Nutrient,Unit,1Value per 100 g,"1 item = 135.0g",
Proximates
"Water",g,40.11,54.15
"Energy",kcal,318,429
"Protein",g,8.41,11.35
"Total lipid (fat)",g,17.76,23.98
"Carbohydrate, by difference",g,31.25,42.19
"Fiber, total dietary",g,1.0,1.4
"Sugars, total",g,11.23,15.16
Minerals
"Calcium, Ca",mg,63,85
"Iron, Fe",mg,1.42,1.92
"Magnesium, Mg",mg,14,19
"Phosphorus, P",mg,316,427
"Potassium, K",mg,145,196
"Sodium, Na",mg,737,995
"Zinc, Zn",mg,0.76,1.03
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Thiamin",mg,0.209,0.282
"Riboflavin",mg,0.156,0.211
"Niacin",mg,3.082,4.161
"Vitamin B-6",mg,0.108,0.146
"Folate, DFE",µg,100,135
"Vitamin B-12",µg,0.27,0.36
"Vitamin A, RAE",µg,0,0
"Vitamin A, IU",IU,0,0
"Vitamin E (alpha-tocopherol)",mg,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.2,0.3
"Vitamin D",IU,9,12
"Vitamin K (phylloquinone)",µg,1.0,1.4
Lipids
"Fatty acids, total saturated",g,5.363,7.240
"Fatty acids, total monounsaturated",g,7.531,10.167
"Fatty acids, total polyunsaturated",g,2.414,3.259
"Fatty acids, total trans",g,0.956,1.291
"Cholesterol",mg,24,32
Amino Acids
Other
"Caffeine",mg,0,0
