Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 02:58 EST
"Nutrient data for: 27015, CAMPBELL'S Red and White, PHINEAS and FERB Soup, condensed"
Nutrient,Unit,1Value per 100 g,"0.5 cup serving = 126.0g",
Proximates
"Water",g,85.70,107.98
"Energy",kcal,56,71
"Protein",g,2.38,3.00
"Total lipid (fat)",g,1.59,2.00
"Carbohydrate, by difference",g,8.73,11.00
"Fiber, total dietary",g,0.8,1.0
"Sugars, total",g,0.79,1.00
Minerals
"Calcium, Ca",mg,16,20
"Iron, Fe",mg,0.57,0.72
"Potassium, K",mg,40,50
"Sodium, Na",mg,627,790
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0
"Vitamin A, IU",IU,397,500
Lipids
"Fatty acids, total saturated",g,0.397,0.500
"Fatty acids, total monounsaturated",g,0.794,1.000
"Fatty acids, total polyunsaturated",g,0.397,0.500
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,4,5
Amino Acids
Other
