Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:42 EST
"Nutrient data for: 19875, Ice creams, BREYERS, All Natural Light Vanilla"
Nutrient,Unit,1Value per 100 g,"1 serving 1/2 cup = 68.0g",
Proximates
"Water",g,64.89,44.13
"Energy",kcal,162,110
"Protein",g,4.84,3.29
"Total lipid (fat)",g,4.59,3.12
"Carbohydrate, by difference",g,25.30,17.20
"Fiber, total dietary",g,0.2,0.1
"Sugars, total",g,22.78,15.49
Minerals
"Calcium, Ca",mg,169,115
"Iron, Fe",mg,0.06,0.04
"Sodium, Na",mg,71,48
Vitamins
"Vitamin C, total ascorbic acid",mg,1.1,0.7
"Vitamin A, IU",IU,437,297
Lipids
"Fatty acids, total saturated",g,2.860,1.945
"Cholesterol",mg,15,10
Amino Acids
Other
