Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:18 EST
"Nutrient data for: 04658, Oil, industrial, palm kernel (hydrogenated), confection fat, intermediate grade product"
Nutrient,Unit,1Value per 100 g,"1 tbsp = 13.6g","1 cup = 218.0g","1 tsp = 4.5g",
Proximates
"Water",g,0.04,0.01,0.09,0.00
"Energy",kcal,884,120,1927,40
"Protein",g,0.00,0.00,0.00,0.00
"Total lipid (fat)",g,100.00,13.60,218.00,4.50
"Carbohydrate, by difference",g,0.00,0.00,0.00,0.00
"Fiber, total dietary",g,0.0,0.0,0.0,0.0
"Sugars, total",g,0.00,0.00,0.00,0.00
Minerals
"Calcium, Ca",mg,1,0,2,0
"Iron, Fe",mg,0.15,0.02,0.33,0.01
"Magnesium, Mg",mg,0,0,0,0
"Phosphorus, P",mg,0,0,0,0
"Potassium, K",mg,1,0,2,0
"Sodium, Na",mg,6,1,13,0
"Zinc, Zn",mg,0.04,0.01,0.09,0.00
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0
"Thiamin",mg,0.000,0.000,0.000,0.000
"Riboflavin",mg,0.000,0.000,0.000,0.000
"Niacin",mg,0.000,0.000,0.000,0.000
"Vitamin B-6",mg,0.000,0.000,0.000,0.000
"Folate, DFE",µg,0,0,0,0
"Vitamin B-12",µg,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,3.81,0.52,8.31,0.17
"Vitamin K (phylloquinone)",µg,24.7,3.4,53.8,1.1
Lipids
"Fatty acids, total saturated",g,92.614,12.596,201.899,4.168
"Fatty acids, total monounsaturated",g,1.271,0.173,2.771,0.057
"Fatty acids, total polyunsaturated",g,0.037,0.005,0.081,0.002
"Fatty acids, total trans",g,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0
