Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:28 EST
"Nutrient data for: 36006, T.G.I. FRIDAY'S, FRIDAY'S Shrimp, breaded"
Nutrient,Unit,1Value per 100 g,"1 serving = 175.0g",
Proximates
"Water",g,44.85,78.49
"Energy",kcal,302,528
"Protein",g,11.87,20.77
"Total lipid (fat)",g,19.02,33.28
"Carbohydrate, by difference",g,20.87,36.52
Minerals
"Calcium, Ca",mg,33,58
"Iron, Fe",mg,0.53,0.93
"Magnesium, Mg",mg,16,28
"Phosphorus, P",mg,226,396
"Potassium, K",mg,122,214
"Sodium, Na",mg,1210,2118
"Zinc, Zn",mg,0.73,1.28
Vitamins
"Thiamin",mg,0.070,0.123
"Riboflavin",mg,0.091,0.159
"Niacin",mg,0.760,1.330
"Vitamin B-6",mg,0.090,0.158
"Vitamin B-12",µg,0.23,0.40
"Vitamin A, RAE",µg,7,12
"Vitamin A, IU",IU,25,44
"Vitamin E (alpha-tocopherol)",mg,2.09,3.66
Lipids
"Fatty acids, total saturated",g,3.501,6.127
"Fatty acids, total monounsaturated",g,4.383,7.670
"Fatty acids, total polyunsaturated",g,9.527,16.672
"Fatty acids, total trans",g,0.115,0.201
"Cholesterol",mg,89,156
Amino Acids
Other
