Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:42 EST
"Nutrient data for: 43537, Babyfood, dessert, blueberry yogurt, strained"
Nutrient,Unit,1Value per 100 g,"1 tbsp = 15.0g","1 jar NFS = 113.0g","1 jar Heinz Strained-2 (4 oz) = 113.0g",
Proximates
"Water",g,81.40,12.21,91.98,91.98
"Energy",kcal,77,12,87,87
"Protein",g,0.50,0.07,0.56,0.56
"Total lipid (fat)",g,0.70,0.10,0.79,0.79
"Carbohydrate, by difference",g,17.05,2.56,19.27,19.27
"Fiber, total dietary",g,0.4,0.1,0.5,0.5
"Sugars, total",g,13.62,2.04,15.39,15.39
Minerals
"Calcium, Ca",mg,25,4,28,28
"Iron, Fe",mg,0.20,0.03,0.23,0.23
"Magnesium, Mg",mg,13,2,15,15
"Phosphorus, P",mg,109,16,123,123
"Potassium, K",mg,62,9,70,70
"Sodium, Na",mg,14,2,16,16
"Zinc, Zn",mg,0.14,0.02,0.16,0.16
Vitamins
"Vitamin C, total ascorbic acid",mg,12.4,1.9,14.0,14.0
"Thiamin",mg,0.000,0.000,0.000,0.000
"Riboflavin",mg,0.040,0.006,0.045,0.045
"Niacin",mg,0.140,0.021,0.158,0.158
"Vitamin B-6",mg,0.400,0.060,0.452,0.452
"Folate, DFE",µg,8,1,9,9
"Vitamin B-12",µg,0.43,0.06,0.49,0.49
"Vitamin A, RAE",µg,3,0,3,3
"Vitamin A, IU",IU,41,6,46,46
"Vitamin E (alpha-tocopherol)",mg,0.40,0.06,0.45,0.45
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0
"Vitamin K (phylloquinone)",µg,13.3,2.0,15.0,15.0
Lipids
"Fatty acids, total saturated",g,0.452,0.068,0.511,0.511
"Fatty acids, total monounsaturated",g,0.192,0.029,0.217,0.217
"Fatty acids, total polyunsaturated",g,0.019,0.003,0.021,0.021
"Cholesterol",mg,4,1,5,5
Amino Acids
Other
"Caffeine",mg,0,0,0,0
